Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.11.2019 00:00;01.11.2019 01:00;47180,00;31711,75;538,50
01.11.2019 01:00;01.11.2019 02:00;45215,00;30137,00;533,00
01.11.2019 02:00;01.11.2019 03:00;44315,25;29785,50;1023,25
01.11.2019 03:00;01.11.2019 04:00;44530,25;30077,75;1435,75
01.11.2019 04:00;01.11.2019 05:00;45318,25;30044,25;1837,75
01.11.2019 05:00;01.11.2019 06:00;46206,25;29853,00;1518,75
01.11.2019 06:00;01.11.2019 07:00;48397,25;30972,50;878,25
01.11.2019 07:00;01.11.2019 08:00;51188,25;31698,75;992,75
01.11.2019 08:00;01.11.2019 09:00;54591,50;33012,00;828,00
01.11.2019 09:00;01.11.2019 10:00;56195,50;33577,25;211,00
01.11.2019 10:00;01.11.2019 11:00;57515,75;34903,75;99,75
01.11.2019 11:00;01.11.2019 12:00;59040,50;36669,00;83,25
01.11.2019 12:00;01.11.2019 13:00;59406,25;37572,25;31,00
01.11.2019 13:00;01.11.2019 14:00;58103,00;37980,25;7,00
01.11.2019 14:00;01.11.2019 15:00;56966,75;38666,75;185,00
01.11.2019 15:00;01.11.2019 16:00;56811,50;39053,25;391,75
01.11.2019 16:00;01.11.2019 17:00;57836,25;39188,00;334,50
01.11.2019 17:00;01.11.2019 18:00;61288,50;41607,25;19,50
01.11.2019 18:00;01.11.2019 19:00;61310,75;40134,25;524,75
01.11.2019 19:00;01.11.2019 20:00;59637,50;37481,50;781,25
01.11.2019 20:00;01.11.2019 21:00;56195,25;33846,00;356,75
01.11.2019 21:00;01.11.2019 22:00;53483,00;31376,25;400,50
01.11.2019 22:00;01.11.2019 23:00;51558,50;30092,75;389,75
01.11.2019 23:00;02.11.2019 00:00;48054,25;27036,00;969,25
02.11.2019 00:00;02.11.2019 01:00;45144,25;24369,75;2677,25
02.11.2019 01:00;02.11.2019 02:00;43136,50;22256,25;3839,00
02.11.2019 02:00;02.11.2019 03:00;42258,25;21252,50;4178,00
02.11.2019 03:00;02.11.2019 04:00;41963,00;20870,75;4203,25
02.11.2019 04:00;02.11.2019 05:00;42569,25;20791,25;4216,25
02.11.2019 05:00;02.11.2019 06:00;43953,50;21216,25;2552,50
02.11.2019 06:00;02.11.2019 07:00;46144,25;22325,25;2227,25
02.11.2019 07:00;02.11.2019 08:00;48809,25;23335,75;1488,25
02.11.2019 08:00;02.11.2019 09:00;52782,25;25690,00;795,75
02.11.2019 09:00;02.11.2019 10:00;55335,00;26254,75;276,50
02.11.2019 10:00;02.11.2019 11:00;56518,25;25271,25;754,50
02.11.2019 11:00;02.11.2019 12:00;58008,75;25204,25;912,25
02.11.2019 12:00;02.11.2019 13:00;57532,50;22464,50;1646,25
02.11.2019 13:00;02.11.2019 14:00;56356,25;22254,25;1159,50
02.11.2019 14:00;02.11.2019 15:00;54901,00;23796,75;709,25
02.11.2019 15:00;02.11.2019 16:00;54406,75;27789,75;447,00
02.11.2019 16:00;02.11.2019 17:00;55309,50;30888,50;514,75
02.11.2019 17:00;02.11.2019 18:00;59458,75;33696,75;749,75
02.11.2019 18:00;02.11.2019 19:00;60178,25;32704,25;560,75
02.11.2019 19:00;02.11.2019 20:00;57879,00;29671,75;621,75
02.11.2019 20:00;02.11.2019 21:00;54212,25;26152,50;453,50
02.11.2019 21:00;02.11.2019 22:00;51934,25;23926,00;348,50
02.11.2019 22:00;02.11.2019 23:00;50440,00;23482,00;473,50
02.11.2019 23:00;03.11.2019 00:00;47042,00;20823,75;2390,75
03.11.2019 00:00;03.11.2019 01:00;43415,00;18569,00;3618,25
03.11.2019 01:00;03.11.2019 02:00;41539,50;17815,00;4516,75
03.11.2019 02:00;03.11.2019 03:00;40502,75;17306,75;5229,00
03.11.2019 03:00;03.11.2019 04:00;40316,75;18043,00;4953,00
03.11.2019 04:00;03.11.2019 05:00;40648,25;19693,50;3949,75
03.11.2019 05:00;03.11.2019 06:00;40432,50;21602,00;2921,75
03.11.2019 06:00;03.11.2019 07:00;40460,50;22508,25;3603,75
03.11.2019 07:00;03.11.2019 08:00;42070,25;24941,25;3071,25
03.11.2019 08:00;03.11.2019 09:00;45452,75;29359,50;642,75
03.11.2019 09:00;03.11.2019 10:00;48302,00;33379,50;242,25
03.11.2019 10:00;03.11.2019 11:00;50776,00;36433,50;131,50
03.11.2019 11:00;03.11.2019 12:00;53338,50;39447,75;394,75
03.11.2019 12:00;03.11.2019 13:00;53082,00;40643,75;320,75
03.11.2019 13:00;03.11.2019 14:00;51137,50;40420,25;267,50
03.11.2019 14:00;03.11.2019 15:00;49744,25;41265,25;315,00
03.11.2019 15:00;03.11.2019 16:00;49809,00;43490,50;499,25
03.11.2019 16:00;03.11.2019 17:00;50723,25;44717,50;71,25
03.11.2019 17:00;03.11.2019 18:00;54764,25;47149,25;19,75
03.11.2019 18:00;03.11.2019 19:00;55695,50;46591,25;12,50
03.11.2019 19:00;03.11.2019 20:00;54038,50;44196,00;72,00
03.11.2019 20:00;03.11.2019 21:00;51453,50;41816,25;235,50
