Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
01.11.2018 00:00;01.11.2018 01:00;48.879,50;34.530,00;3.295,75
01.11.2018 01:00;01.11.2018 02:00;47.312,50;33.605,50;3.848,00
01.11.2018 02:00;01.11.2018 03:00;46.093,75;32.232,00;4.452,25
01.11.2018 03:00;01.11.2018 04:00;46.710,50;33.261,75;4.855,75
01.11.2018 04:00;01.11.2018 05:00;47.624,25;33.987,75;3.854,50
01.11.2018 05:00;01.11.2018 06:00;48.945,00;34.581,00;2.614,00
01.11.2018 06:00;01.11.2018 07:00;51.944,75;36.433,50;1.769,00
01.11.2018 07:00;01.11.2018 08:00;55.229,25;38.707,50;1.158,50
01.11.2018 08:00;01.11.2018 09:00;56.488,75;39.071,00;760,25
01.11.2018 09:00;01.11.2018 10:00;59.099,50;42.091,25;356,75
01.11.2018 10:00;01.11.2018 11:00;59.042,00;43.575,50;503,25
01.11.2018 11:00;01.11.2018 12:00;60.353,75;45.754,50;863,75
01.11.2018 12:00;01.11.2018 13:00;60.551,50;47.110,25;801,00
01.11.2018 13:00;01.11.2018 14:00;58.623,25;46.184,75;648,00
01.11.2018 14:00;01.11.2018 15:00;57.673,25;45.500,75;998,50
01.11.2018 15:00;01.11.2018 16:00;58.095,25;47.708,50;687,75
01.11.2018 16:00;01.11.2018 17:00;58.760,25;50.364,25;155,50
01.11.2018 17:00;01.11.2018 18:00;62.693,50;52.830,00;36,75
01.11.2018 18:00;01.11.2018 19:00;64.061,75;52.070,75;169,50
01.11.2018 19:00;01.11.2018 20:00;62.422,75;49.269,75;737,25
01.11.2018 20:00;01.11.2018 21:00;58.984,50;44.779,00;1.321,50
01.11.2018 21:00;01.11.2018 22:00;56.194,50;39.749,00;1.801,75
01.11.2018 22:00;01.11.2018 23:00;53.861,00;35.261,75;3.557,75
01.11.2018 23:00;02.11.2018 00:00;50.811,25;31.310,00;3.454,75
02.11.2018 00:00;02.11.2018 01:00;47.540,25;27.509,75;5.313,00
02.11.2018 01:00;02.11.2018 02:00;45.854,25;25.276,50;4.418,50
02.11.2018 02:00;02.11.2018 03:00;45.261,25;24.853,25;4.269,75
02.11.2018 03:00;02.11.2018 04:00;46.022,75;24.823,50;4.460,00
02.11.2018 04:00;02.11.2018 05:00;47.674,00;26.431,75;3.952,75
02.11.2018 05:00;02.11.2018 06:00;51.249,75;30.019,25;1.474,50
02.11.2018 06:00;02.11.2018 07:00;57.873,25;36.400,00;589,75
02.11.2018 07:00;02.11.2018 08:00;62.706,00;41.675,25;395,25
02.11.2018 08:00;02.11.2018 09:00;65.563,25;43.702,00;213,75
02.11.2018 09:00;02.11.2018 10:00;66.141,50;42.441,75;675,75
02.11.2018 10:00;02.11.2018 11:00;66.811,00;42.357,25;614,25
02.11.2018 11:00;02.11.2018 12:00;66.785,25;41.850,25;1.115,00
02.11.2018 12:00;02.11.2018 13:00;66.723,25;42.145,25;1.411,00
02.11.2018 13:00;02.11.2018 14:00;65.327,25;44.667,00;470,50
02.11.2018 14:00;02.11.2018 15:00;63.331,00;47.886,25;27,25
02.11.2018 15:00;02.11.2018 16:00;62.522,50;52.142,25;0,00
02.11.2018 16:00;02.11.2018 17:00;62.976,25;55.617,50;1,75
02.11.2018 17:00;02.11.2018 18:00;66.537,00;59.990,00;0,00
02.11.2018 18:00;02.11.2018 19:00;66.788,25;59.953,00;3,00
02.11.2018 19:00;02.11.2018 20:00;64.597,00;57.334,75;264,25
02.11.2018 20:00;02.11.2018 21:00;60.094,75;53.052,25;125,75
02.11.2018 21:00;02.11.2018 22:00;56.650,75;50.162,75;612,75
02.11.2018 22:00;02.11.2018 23:00;54.547,00;48.652,50;1.398,00
02.11.2018 23:00;03.11.2018 00:00;50.215,00;44.382,75;1.172,50
03.11.2018 00:00;03.11.2018 01:00;47.901,00;42.214,00;2.910,00
03.11.2018 01:00;03.11.2018 02:00;45.876,25;40.330,75;2.076,75
03.11.2018 02:00;03.11.2018 03:00;44.989,00;39.948,00;3.239,00
03.11.2018 03:00;03.11.2018 04:00;44.615,75;39.844,25;2.464,50
03.11.2018 04:00;03.11.2018 05:00;45.415,75;40.674,50;1.926,50
03.11.2018 05:00;03.11.2018 06:00;45.948,75;41.281,00;1.633,75
03.11.2018 06:00;03.11.2018 07:00;47.767,00;42.961,00;772,00
03.11.2018 07:00;03.11.2018 08:00;49.991,50;44.769,25;949,00
03.11.2018 08:00;03.11.2018 09:00;53.627,50;46.216,25;311,00
03.11.2018 09:00;03.11.2018 10:00;56.016,25;45.646,75;498,25
03.11.2018 10:00;03.11.2018 11:00;57.627,00;44.846,75;375,75
03.11.2018 11:00;03.11.2018 12:00;58.198,50;44.012,25;755,50
03.11.2018 12:00;03.11.2018 13:00;57.388,75;42.982,25;1.670,50
03.11.2018 13:00;03.11.2018 14:00;55.373,75;41.848,50;1.667,50
03.11.2018 14:00;03.11.2018 15:00;54.298,00;43.088,25;739,00
03.11.2018 15:00;03.11.2018 16:00;53.592,75;45.816,00;289,50
03.11.2018 16:00;03.11.2018 17:00;54.683,75;48.670,00;304,75
03.11.2018 17:00;03.11.2018 18:00;59.214,50;52.109,75;174,25
03.11.2018 18:00;03.11.2018 19:00;60.250,50;51.430,25;253,75
03.11.2018 19:00;03.11.2018 20:00;57.852,25;47.408,00;621,50
03.11.2018 20:00;03.11.2018 21:00;54.442,25;42.700,25;1.008,25
03.11.2018 21:00;03.11.2018 22:00;51.791,25;38.871,00;1.053,75
03.11.2018 22:00;03.11.2018 23:00;50.875,00;37.982,75;1.294,00
03.11.2018 23:00;04.11.2018 00:00;47.630,75;34.350,00;2.487,50
04.11.2018 00:00;04.11.2018 01:00;44.379,25;30.935,00;3.903,25
04.11.2018 01:00;04.11.2018 02:00;42.399,75;29.033,25;3.918,00
04.11.2018 02:00;04.11.2018 03:00;41.133,25;28.227,75;3.999,75
04.11.2018 03:00;04.11.2018 04:00;41.623,00;29.484,25;4.421,50
04.11.2018 04:00;04.11.2018 05:00;41.954,25;30.420,00;3.384,00
04.11.2018 05:00;04.11.2018 06:00;42.129,75;31.207,75;2.683,25
04.11.2018 06:00;04.11.2018 07:00;42.020,00;31.830,75;3.016,50
04.11.2018 07:00;04.11.2018 08:00;44.191,75;34.613,00;1.839,00
04.11.2018 08:00;04.11.2018 09:00;46.921,50;37.224,50;599,25
04.11.2018 09:00;04.11.2018 10:00;50.329,50;40.375,75;267,00
04.11.2018 10:00;04.11.2018 11:00;52.478,75;42.481,25;202,00
04.11.2018 11:00;04.11.2018 12:00;54.494,75;44.736,25;29,00
04.11.2018 12:00;04.11.2018 13:00;53.445,50;44.414,50;143,75
04.11.2018 13:00;04.11.2018 14:00;51.643,50;43.916,25;182,50
04.11.2018 14:00;04.11.2018 15:00;49.926,00;43.577,50;412,50
04.11.2018 15:00;04.11.2018 16:00;49.480,75;44.236,00;138,00
04.11.2018 16:00;04.11.2018 17:00;50.940,00;45.649,50;121,75
04.11.2018 17:00;04.11.2018 18:00;55.711,00;49.418,50;104,50
04.11.2018 18:00;04.11.2018 19:00;56.581,25;49.351,00;5,75
04.11.2018 19:00;04.11.2018 20:00;55.409,25;47.847,00;7,00
04.11.2018 20:00;04.11.2018 21:00;52.431,00;44.848,75;337,00
04.11.2018 21:00;04.11.2018 22:00;50.761,75;43.014,00;735,25
04.11.2018 22:00;04.11.2018 23:00;50.348,00;42.858,00;1.444,25
04.11.2018 23:00;05.11.2018 00:00;46.804,25;39.656,00;1.982,50
05.11.2018 00:00;05.11.2018 01:00;44.735,00;37.878,00;4.086,75
05.11.2018 01:00;05.11.2018 02:00;43.302,00;36.536,75;4.708,50
05.11.2018 02:00;05.11.2018 03:00;42.889,25;36.160,75;5.100,25
05.11.2018 03:00;05.11.2018 04:00;43.541,75;36.714,50;5.461,00
05.11.2018 04:00;05.11.2018 05:00;45.868,25;38.761,00;2.715,25
05.11.2018 05:00;05.11.2018 06:00;50.740,25;43.388,50;381,00
05.11.2018 06:00;05.11.2018 07:00;59.787,25;52.125,25;228,75
05.11.2018 07:00;05.11.2018 08:00;65.940,50;57.542,75;278,75
05.11.2018 08:00;05.11.2018 09:00;68.217,75;58.783,75;57,75
05.11.2018 09:00;05.11.2018 10:00;69.410,75;58.546,50;0,25
05.11.2018 10:00;05.11.2018 11:00;69.308,75;57.212,50;1,00
05.11.2018 11:00;05.11.2018 12:00;69.523,75;55.920,00;161,25
05.11.2018 12:00;05.11.2018 13:00;68.794,75;53.658,75;1.611,75
05.11.2018 13:00;05.11.2018 14:00;68.532,75;52.844,00;1.088,25
05.11.2018 14:00;05.11.2018 15:00;67.427,75;53.314,25;558,00
05.11.2018 15:00;05.11.2018 16:00;66.800,75;55.419,25;252,00
05.11.2018 16:00;05.11.2018 17:00;66.906,25;56.557,25;284,25
05.11.2018 17:00;05.11.2018 18:00;70.858,75;59.044,25;27,25
05.11.2018 18:00;05.11.2018 19:00;71.112,00;57.811,25;1,25
05.11.2018 19:00;05.11.2018 20:00;70.143,50;56.188,75;123,50
05.11.2018 20:00;05.11.2018 21:00;65.565,00;52.559,75;612,50
05.11.2018 21:00;05.11.2018 22:00;61.899,25;50.180,25;1.258,50
05.11.2018 22:00;05.11.2018 23:00;57.911,50;46.899,50;2.245,50
05.11.2018 23:00;06.11.2018 00:00;53.309,75;42.691,25;2.230,50
06.11.2018 00:00;06.11.2018 01:00;51.652,00;41.541,00;4.745,25
06.11.2018 01:00;06.11.2018 02:00;49.467,00;40.216,50;4.595,25
06.11.2018 02:00;06.11.2018 03:00;48.627,00;39.598,75;5.288,00
06.11.2018 03:00;06.11.2018 04:00;49.171,75;40.273,00;5.630,75
06.11.2018 04:00;06.11.2018 05:00;51.002,25;42.046,25;4.441,00
06.11.2018 05:00;06.11.2018 06:00;54.515,50;44.891,75;1.994,25
06.11.2018 06:00;06.11.2018 07:00;62.289,50;52.328,25;389,75
06.11.2018 07:00;06.11.2018 08:00;67.158,75;56.321,50;173,00
06.11.2018 08:00;06.11.2018 09:00;68.864,50;54.930,75;538,25
06.11.2018 09:00;06.11.2018 10:00;69.316,25;52.436,25;641,00
06.11.2018 10:00;06.11.2018 11:00;69.521,00;50.630,25;280,50
06.11.2018 11:00;06.11.2018 12:00;70.191,25;51.088,00;140,75
06.11.2018 12:00;06.11.2018 13:00;68.655,50;50.692,75;198,00
06.11.2018 13:00;06.11.2018 14:00;68.249,75;52.678,25;197,25
06.11.2018 14:00;06.11.2018 15:00;67.496,50;55.356,50;6,25
06.11.2018 15:00;06.11.2018 16:00;67.752,25;58.396,75;89,50
06.11.2018 16:00;06.11.2018 17:00;68.322,50;59.003,00;326,75
06.11.2018 17:00;06.11.2018 18:00;71.653,50;59.437,25;115,00
06.11.2018 18:00;06.11.2018 19:00;72.177,25;57.509,25;212,50
06.11.2018 19:00;06.11.2018 20:00;70.203,25;54.139,00;354,50
06.11.2018 20:00;06.11.2018 21:00;66.457,00;50.242,00;335,25
06.11.2018 21:00;06.11.2018 22:00;62.505,50;46.722,50;1.265,00
06.11.2018 22:00;06.11.2018 23:00;58.955,50;44.311,75;2.090,75
06.11.2018 23:00;07.11.2018 00:00;54.521,00;40.996,25;1.364,00
07.11.2018 00:00;07.11.2018 01:00;51.214,25;38.333,00;3.586,50
07.11.2018 01:00;07.11.2018 02:00;49.154,75;36.662,50;4.737,00
